"filename", "language", "HTML", "Markdown", "Ignore", "XML", "YAML", "C#", "Docker", "JSON", "JavaScript", "CSS", "EditorConfig", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\bin\Release\net6.0\publish\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\bin\Release\net6.0\publish\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 40
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Basket.Api.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 124
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Basket.Api.csproj.nuget.g.props", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Basket.Api.csproj.nuget.g.targets", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\Basket.Api.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\Basket.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\Basket.Api.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\Basket.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 5, 17
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\Basket.Api.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\obj\Debug\net6.0\staticwebassets\msbuild.build.Basket.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
